nohup: ignoring input
127.0.0.1 - - [24/Dec/2025 16:25:43] "GET /api/quote?symbol=LENSKART.NS HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2025 16:25:43] "GET /api/quote?symbol=IZMO.BO HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2025 16:25:43] "GET /api/quote?symbol=BTC-USD HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2025 16:25:43] "GET /api/quote?symbol=RELIANCE.NS HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2025 16:25:51] "GET /api/quote?symbol=IZMO.BO HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2025 16:25:51] "GET /api/quote?symbol=BTC-USD HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2025 16:25:51] "GET /api/quote?symbol=RELIANCE.NS HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2025 16:25:52] "GET /api/quote?symbol=ICICIAMC.NS HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2025 16:25:52] "GET /api/quote?symbol=IZMO.NS HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2025 16:25:52] "GET /api/quote?symbol=MEESHO.NS HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2025 16:25:52] "GET /api/quote?symbol=ICICIAMC.NS HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2025 16:25:53] "GET /api/quote?symbol=LENSKART.NS HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2025 16:25:53] "GET /api/quote?symbol=IZMO.BO HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2025 16:25:53] "GET /api/quote?symbol=BTC-USD HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2025 16:25:53] "GET /api/quote?symbol=RELIANCE.NS HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2025 16:26:01] "GET /api/quote?symbol=IZMO.BO HTTP/1.1" 200 -
